openness,agreeableness,emotional_stability,conscientiousness,extraversion,,counter,absoluteDifference,averageAbsoluteDifference,1070203
20,30,40,60,15,"	",1537,15370,10,
35,35,25,65,15,"	",84,840,10,
45,35,50,40,15,"	",1007,10070,10,
50,35,45,30,25,"	",688,6880,10,
55,40,65,25,35,"	",242,2420,10,
55,50,30,50,40,"	",67,670,10,
55,50,65,55,55,"	",1210,12100,10,
55,55,45,35,30,"	",591,5910,10,
55,70,50,60,10,"	",357,3570,10,
65,45,60,40,60,"	",488,4880,10,
70,30,70,70,15,"	",1636,16360,10,
70,45,40,65,45,"	",190,1900,10,
70,55,25,65,70,"	",568,5680,10,
70,65,55,40,40,"	",334,3340,10,
30,25,35,20,65,"	",253,2277,9,11470
35,55,45,60,20,"	",571,5139,9,
40,45,35,60,30,"	",203,1827,9,
40,45,45,55,45,"	",785,7065,9,
45,30,50,30,20,"	",1536,13824,9,
45,45,20,50,25,"	",263,2367,9,
50,60,60,50,45,"	",1261,11349,9,
50,65,45,20,15,"	",440,3960,9,
55,25,30,55,20,"	",719,6471,9,
55,30,25,30,25,"	",545,4905,9,
55,45,40,45,40,"	",1414,12726,9,
55,55,45,45,15,"	",192,1728,9,
60,55,55,60,50,"	",1563,14067,9,
65,45,40,65,40,"	",416,3744,9,
65,45,65,35,60,"	",66,594,9,
65,65,70,70,25,"	",22,198,9,
70,30,35,35,55,"	",72,648,9,
70,35,55,45,40,"	",541,4869,9,
70,40,30,20,40,"	",178,1602,9,
70,40,35,30,50,"	",211,1899,9,
70,45,35,35,45,"	",219,1971,9,
25,35,20,25,20,"	",703,5624,8,22045
25,35,50,70,10,"	",279,2232,8,
25,60,65,65,10,"	",139,1112,8,
35,45,50,50,30,"	",558,4464,8,
40,10,20,45,55,"	",480,3840,8,
40,35,35,40,40,"	",32,256,8,
40,35,45,60,35,"	",649,5192,8,
40,40,40,40,35,"	",22,176,8,
40,40,45,40,35,"	",24,192,8,
40,45,40,55,45,"	",335,2680,8,
40,55,50,45,25,"	",1198,9584,8,
40,65,50,65,20,"	",962,7696,8,
45,30,40,45,40,"	",736,5888,8,
45,35,35,40,25,"	",38,304,8,
45,35,40,55,20,"	",379,3032,8,
45,35,50,40,30,"	",110,880,8,
45,35,60,55,10,"	",196,1568,8,
45,45,60,55,10,"	",397,3176,8,
45,55,70,55,20,"	",152,1216,8,
50,30,25,35,40,"	",569,4552,8,
50,30,35,40,25,"	",346,2768,8,
50,35,65,45,45,"	",147,1176,8,
55,20,20,15,25,"	",542,4336,8,
55,20,45,70,20,"	",663,5304,8,
55,30,65,55,50,"	",519,4152,8,
55,40,50,35,40,"	",572,4576,8,
55,40,65,60,55,"	",118,944,8,
55,45,60,70,45,"	",109,872,8,
55,45,65,50,50,"	",31,248,8,
60,35,50,55,40,"	",76,608,8,
60,45,35,25,45,"	",309,2472,8,
60,55,30,25,40,"	",1106,8848,8,
60,65,70,50,30,"	",921,7368,8,
65,30,60,55,25,"	",456,3648,8,
65,35,35,40,30,"	",1145,9160,8,
65,40,20,45,60,"	",1133,9064,8,
65,40,30,45,35,"	",218,1744,8,
65,40,45,35,15,"	",224,1792,8,
65,45,30,25,25,"	",529,4232,8,
65,45,50,50,40,"	",70,560,8,
65,50,30,15,30,"	",418,3344,8,
65,50,50,45,45,"	",19,152,8,
65,55,60,20,50,"	",335,2680,8,
65,60,40,40,30,"	",79,632,8,
65,70,65,60,55,"	",1502,12016,8,
70,30,60,60,50,"	",570,4560,8,
70,35,70,65,40,"	",801,6408,8,
70,40,50,50,35,"	",164,1312,8,
70,40,50,70,25,"	",664,5312,8,
70,40,60,70,45,"	",203,1624,8,
70,65,60,25,55,"	",98,784,8,
15,45,60,55,15,"	",1180,8260,7,
20,50,35,70,10,"	",22,154,7,
30,45,60,65,60,"	",68,476,7,
30,55,50,40,10,"	",131,917,7,
35,35,50,35,25,"	",593,4151,7,
35,55,60,65,35,"	",419,2933,7,
40,20,30,45,20,"	",206,1442,7,
40,35,30,35,20,"	",1167,8169,7,
40,35,40,40,40,"	",75,525,7,
40,40,40,45,35,"	",1177,9078,7,
40,45,50,20,20,"	",148,1036,7,
40,45,55,55,60,"	",1056,7392,7,
40,50,45,30,35,"	",207,1449,7,
40,60,25,55,20,"	",833,5831,7,
45,35,55,45,30,"	",88,616,7,
45,35,70,60,20,"	",1000,7000,7,
45,40,45,45,40,"	",453,3171,7,
45,40,50,70,40,"	",441,3087,7,
45,40,60,50,35,"	",1263,8841,7,
45,45,60,70,20,"	",1267,8869,7,
45,45,65,60,50,"	",1292,9044,7,
45,60,65,50,40,"	",821,5747,7,
50,25,60,60,20,"	",390,2730,7,
50,30,55,70,25,"	",38,266,7,
50,30,60,55,20,"	",177,1239,7,
50,40,20,25,55,"	",1072,7504,7,
50,40,50,60,65,"	",818,5726,7,
50,45,30,30,30,"	",46,322,7,
50,45,65,50,50,"	",232,1624,7,
50,50,20,60,15,"	",221,1547,7,
50,50,45,50,50,"	",54,378,7,
50,50,45,65,20,"	",1313,9191,7,
50,55,40,30,30,"	",566,3962,7,
50,55,40,45,15,"	",1165,8155,7,
55,25,20,20,30,"	",913,6391,7,
55,25,35,70,15,"	",507,3549,7,
55,30,35,50,25,"	",112,784,7,
55,30,45,55,25,"	",134,938,7,
55,30,55,30,65,"	",490,3430,7,
55,35,20,40,45,"	",122,854,7,
55,35,35,35,30,"	",2193,15351,7,
55,35,35,40,35,"	",1272,8904,7,
55,35,50,45,55,"	",2828,19796,7,
55,35,65,60,20,"	",894,6258,7,
55,40,40,70,30,"	",153,1071,7,
